measure,interval_start,interval_end,ratio,numerator,denominator,practice_id
female_count_w,2018-10-01,2018-10-07,0.0,0,1,0
female_count_w,2018-10-01,2018-10-07,1.0,1,1,41
female_count_w,2018-10-01,2018-10-07,0.0,0,1,96
female_count_w,2018-10-01,2018-10-07,0.0,0,1,88
female_count_w,2018-10-01,2018-10-07,1.0,1,1,4
female_count_w,2018-10-01,2018-10-07,1.0,2,2,68
female_count_w,2018-10-01,2018-10-07,0.0,0,1,34
female_count_w,2018-10-01,2018-10-07,0.0,0,1,78
female_count_w,2018-10-01,2018-10-07,0.0,0,1,6
female_count_w,2018-10-01,2018-10-07,1.0,1,1,51
female_count_w,2018-10-01,2018-10-07,0.0,0,1,98
female_count_w,2018-10-01,2018-10-07,0.0,0,1,47
female_count_w,2018-10-01,2018-10-07,1.0,1,1,39
female_count_w,2018-10-01,2018-10-07,0.0,0,1,13
female_count_w,2018-10-01,2018-10-07,0.0,0,1,18
female_count_w,2018-10-01,2018-10-07,0.0,0,1,-54
female_count_w,2018-10-01,2018-10-07,0.0,0,1,-97
female_count_w,2018-10-01,2018-10-07,1.0,1,1,42
female_count_w,2018-10-01,2018-10-07,0.0,0,1,24
female_count_w,2018-10-01,2018-10-07,0.0,0,1,-43
female_count_w,2018-10-01,2018-10-07,0.0,0,1,-70
female_count_w,2018-10-01,2018-10-07,1.0,1,1,-76
female_count_w,2018-10-01,2018-10-07,0.0,0,1,-64
female_count_w,2018-10-01,2018-10-07,0.0,0,1,-83
female_count_w,2018-10-01,2018-10-07,1.0,2,2,-45
female_count_w,2018-10-01,2018-10-07,0.0,0,1,-35
female_count_w,2018-10-01,2018-10-07,0.0,0,1,-77
female_count_w,2018-10-01,2018-10-07,1.0,1,1,-47
female_count_w,2018-10-01,2018-10-07,1.0,1,1,55
female_count_w,2018-10-01,2018-10-07,0.0,0,1,-36
female_count_w,2018-10-01,2018-10-07,0.0,0,1,40
female_count_w,2018-10-01,2018-10-07,0.0,0,1,27
female_count_w,2018-10-01,2018-10-07,1.0,1,1,-100
female_count_w,2018-10-01,2018-10-07,1.0,1,1,62
female_count_w,2018-10-01,2018-10-07,0.0,0,1,65
female_count_w,2018-10-01,2018-10-07,1.0,1,1,-73
female_count_w,2018-10-01,2018-10-07,1.0,1,1,21
female_count_w,2018-10-01,2018-10-07,1.0,1,1,61
female_count_w,2018-10-08,2018-10-14,0.0,0,1,0
female_count_w,2018-10-08,2018-10-14,1.0,1,1,41
female_count_w,2018-10-08,2018-10-14,0.0,0,1,96
female_count_w,2018-10-08,2018-10-14,0.0,0,1,88
female_count_w,2018-10-08,2018-10-14,1.0,1,1,4
female_count_w,2018-10-08,2018-10-14,1.0,2,2,68
female_count_w,2018-10-08,2018-10-14,0.0,0,1,34
female_count_w,2018-10-08,2018-10-14,0.0,0,1,78
female_count_w,2018-10-08,2018-10-14,0.0,0,1,6
female_count_w,2018-10-08,2018-10-14,1.0,1,1,51
female_count_w,2018-10-08,2018-10-14,0.0,0,1,98
female_count_w,2018-10-08,2018-10-14,0.0,0,1,47
female_count_w,2018-10-08,2018-10-14,1.0,1,1,39
female_count_w,2018-10-08,2018-10-14,0.0,0,1,13
female_count_w,2018-10-08,2018-10-14,0.0,0,1,18
female_count_w,2018-10-08,2018-10-14,0.0,0,1,-54
female_count_w,2018-10-08,2018-10-14,0.0,0,1,-97
female_count_w,2018-10-08,2018-10-14,1.0,1,1,42
female_count_w,2018-10-08,2018-10-14,0.0,0,1,24
female_count_w,2018-10-08,2018-10-14,0.0,0,1,-43
female_count_w,2018-10-08,2018-10-14,0.0,0,1,-70
female_count_w,2018-10-08,2018-10-14,1.0,1,1,-76
female_count_w,2018-10-08,2018-10-14,0.0,0,1,-64
female_count_w,2018-10-08,2018-10-14,0.0,0,1,-83
female_count_w,2018-10-08,2018-10-14,1.0,2,2,-45
female_count_w,2018-10-08,2018-10-14,0.0,0,1,-35
female_count_w,2018-10-08,2018-10-14,0.0,0,1,-77
female_count_w,2018-10-08,2018-10-14,1.0,1,1,-47
female_count_w,2018-10-08,2018-10-14,1.0,1,1,55
female_count_w,2018-10-08,2018-10-14,0.0,0,1,-36
female_count_w,2018-10-08,2018-10-14,0.0,0,1,40
female_count_w,2018-10-08,2018-10-14,0.0,0,1,27
female_count_w,2018-10-08,2018-10-14,1.0,1,1,-100
female_count_w,2018-10-08,2018-10-14,1.0,1,1,62
female_count_w,2018-10-08,2018-10-14,0.0,0,1,65
female_count_w,2018-10-08,2018-10-14,1.0,1,1,-73
female_count_w,2018-10-08,2018-10-14,1.0,1,1,21
female_count_w,2018-10-08,2018-10-14,1.0,1,1,61
female_count_w,2018-10-15,2018-10-21,0.0,0,1,0
female_count_w,2018-10-15,2018-10-21,1.0,1,1,41
female_count_w,2018-10-15,2018-10-21,0.0,0,1,96
female_count_w,2018-10-15,2018-10-21,0.0,0,1,88
female_count_w,2018-10-15,2018-10-21,1.0,1,1,4
female_count_w,2018-10-15,2018-10-21,1.0,2,2,68
female_count_w,2018-10-15,2018-10-21,0.0,0,1,34
female_count_w,2018-10-15,2018-10-21,0.0,0,1,78
female_count_w,2018-10-15,2018-10-21,0.0,0,1,6
female_count_w,2018-10-15,2018-10-21,1.0,1,1,51
female_count_w,2018-10-15,2018-10-21,0.0,0,1,98
female_count_w,2018-10-15,2018-10-21,0.0,0,1,47
female_count_w,2018-10-15,2018-10-21,1.0,1,1,39
female_count_w,2018-10-15,2018-10-21,0.0,0,1,13
female_count_w,2018-10-15,2018-10-21,0.0,0,1,18
female_count_w,2018-10-15,2018-10-21,0.0,0,1,-54
female_count_w,2018-10-15,2018-10-21,0.0,0,1,-97
female_count_w,2018-10-15,2018-10-21,1.0,1,1,42
female_count_w,2018-10-15,2018-10-21,0.0,0,1,24
female_count_w,2018-10-15,2018-10-21,0.0,0,1,-43
female_count_w,2018-10-15,2018-10-21,0.0,0,1,-70
female_count_w,2018-10-15,2018-10-21,1.0,1,1,-76
female_count_w,2018-10-15,2018-10-21,0.0,0,1,-64
female_count_w,2018-10-15,2018-10-21,0.0,0,1,-83
female_count_w,2018-10-15,2018-10-21,1.0,2,2,-45
female_count_w,2018-10-15,2018-10-21,0.0,0,1,-35
female_count_w,2018-10-15,2018-10-21,0.0,0,1,-77
female_count_w,2018-10-15,2018-10-21,1.0,1,1,-47
female_count_w,2018-10-15,2018-10-21,1.0,1,1,55
female_count_w,2018-10-15,2018-10-21,0.0,0,1,-36
female_count_w,2018-10-15,2018-10-21,0.0,0,1,40
female_count_w,2018-10-15,2018-10-21,0.0,0,1,27
female_count_w,2018-10-15,2018-10-21,1.0,1,1,-100
female_count_w,2018-10-15,2018-10-21,1.0,1,1,62
female_count_w,2018-10-15,2018-10-21,0.0,0,1,65
female_count_w,2018-10-15,2018-10-21,1.0,1,1,-73
female_count_w,2018-10-15,2018-10-21,1.0,1,1,21
female_count_w,2018-10-15,2018-10-21,1.0,1,1,61
female_count_w,2018-10-22,2018-10-28,0.0,0,1,0
female_count_w,2018-10-22,2018-10-28,1.0,1,1,41
female_count_w,2018-10-22,2018-10-28,0.0,0,1,96
female_count_w,2018-10-22,2018-10-28,0.0,0,1,88
female_count_w,2018-10-22,2018-10-28,1.0,1,1,4
female_count_w,2018-10-22,2018-10-28,1.0,2,2,68
female_count_w,2018-10-22,2018-10-28,0.0,0,1,34
female_count_w,2018-10-22,2018-10-28,0.0,0,1,78
female_count_w,2018-10-22,2018-10-28,0.0,0,1,6
female_count_w,2018-10-22,2018-10-28,1.0,1,1,51
female_count_w,2018-10-22,2018-10-28,0.0,0,1,98
female_count_w,2018-10-22,2018-10-28,0.0,0,1,47
female_count_w,2018-10-22,2018-10-28,1.0,1,1,39
female_count_w,2018-10-22,2018-10-28,0.0,0,1,13
female_count_w,2018-10-22,2018-10-28,0.0,0,1,18
female_count_w,2018-10-22,2018-10-28,0.0,0,1,-54
female_count_w,2018-10-22,2018-10-28,0.0,0,1,-97
female_count_w,2018-10-22,2018-10-28,1.0,1,1,42
female_count_w,2018-10-22,2018-10-28,0.0,0,1,24
female_count_w,2018-10-22,2018-10-28,0.0,0,1,-43
female_count_w,2018-10-22,2018-10-28,0.0,0,1,-70
female_count_w,2018-10-22,2018-10-28,1.0,1,1,-76
female_count_w,2018-10-22,2018-10-28,0.0,0,1,-64
female_count_w,2018-10-22,2018-10-28,0.0,0,1,-83
female_count_w,2018-10-22,2018-10-28,1.0,2,2,-45
female_count_w,2018-10-22,2018-10-28,0.0,0,1,-35
female_count_w,2018-10-22,2018-10-28,0.0,0,1,-77
female_count_w,2018-10-22,2018-10-28,1.0,1,1,-47
female_count_w,2018-10-22,2018-10-28,1.0,1,1,55
female_count_w,2018-10-22,2018-10-28,0.0,0,1,-36
female_count_w,2018-10-22,2018-10-28,0.0,0,1,40
female_count_w,2018-10-22,2018-10-28,0.0,0,1,27
female_count_w,2018-10-22,2018-10-28,1.0,1,1,-100
female_count_w,2018-10-22,2018-10-28,1.0,1,1,62
female_count_w,2018-10-22,2018-10-28,0.0,0,1,65
female_count_w,2018-10-22,2018-10-28,1.0,1,1,-73
female_count_w,2018-10-22,2018-10-28,1.0,1,1,21
female_count_w,2018-10-22,2018-10-28,1.0,1,1,61
